age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
23,Private,Some-college,Never-married,Sales,Own-child,White,Female,25,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
28,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,40,India,<=50K
60,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
39,Private,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
58,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K
44,Private,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,India,>50K
63,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
27,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
29,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,37,United-States,<=50K
55,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,30,United-States,<=50K
60,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,India,>50K
47,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,48,Mexico,<=50K
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
22,Private,Some-college,Never-married,Sales,Own-child,White,Female,25,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
63,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
36,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,>50K
26,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
39,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K
58,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,45,India,>50K
60,Local-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
23,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
39,Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
48,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
66,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,>50K
22,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,45,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,Canada,<=50K
44,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
37,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,38,United-States,<=50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
26,Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K
49,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K
28,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,35,United-States,<=50K
61,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
38,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K
55,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,48,India,>50K
26,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K
68,Retired,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
22,Private,HS-grad,Never-married,Sales,Own-child,White,Male,30,United-States,<=50K
44,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
36,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,50,Philippines,>50K
29,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K
58,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
25,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,38,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
39,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
39,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,England,>50K
48,Federal-gov,Bachelors,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
57,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
22,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,30,United-States,<=50K
46,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K
36,Local-gov,Masters,Single,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
65,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
29,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,India,>50K
44,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
27,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,Female,38,United-States,<=50K
38,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
60,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
38,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
47,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
31,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,Mexico,<=50K
55,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
24,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,<=50K
39,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K
63,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
29,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,30,United-States,<=50K
44,Local-gov,Bachelors,Divorced,Protective-serv,Unmarried,White,Male,48,United-States,>50K
21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,40,India,>50K
58,Self-emp-not-inc,Some-college,Widowed,Sales,Not-in-family,White,Female,35,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
60,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K
23,Private,Bachelors,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,40,India,<=50K
39,Private,Assoc-acdm,Divorced,Other-service,Unmarried,Black,Female,40,United-States,<=50K
47,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
56,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
22,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,25,United-States,<=50K
38,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
26,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K
65,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,Black,Female,40,United-States,>50K
44,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K
29,Private,Masters,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,45,China,<=50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
31,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
48,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
58,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,India,>50K
39,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,<=50K
41,State-gov,Bachelors,Divorced,Adm-clerical,Unmarried,Black,Female,38,United-States,<=50K
29,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,Mexico,<=50K
63,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K
55,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
23,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K
47,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
30,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,40,China,<=50K
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
38,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Tech-support,Own-child,Black,Female,38,United-States,<=50K
41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
23,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
61,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
39,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
48,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,40,Mexico,<=50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,40,India,<=50K
55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,>50K
37,Private,Some-college,Divorced,Other-service,Unmarried,Black,Female,35,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,48,United-States,<=50K
29,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
68,Retired,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
36,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
22,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
49,Local-gov,Assoc-voc,Divorced,Protective-serv,Unmarried,White,Male,45,United-States,<=50K
58,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,>50K
30,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
41,Private,Some-college,Divorced,Sales,Unmarried,White,Female,38,United-States,<=50K
28,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,>50K
60,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,<=50K
23,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K
47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,India,>50K
31,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,48,United-States,<=50K
58,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
39,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K
22,Private,Some-college,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
44,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Female,40,Canada,>50K
29,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
63,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
49,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
33,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
26,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
55,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40,India,>50K
23,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,35,United-States,<=50K
58,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
39,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
25,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
63,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K
31,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
47,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
22,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
36,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
29,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,40,Canada,<=50K
48,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
55,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
26,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,35,Mexico,<=50K
60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
33,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
31,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
48,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
22,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,25,United-States,<=50K
39,Private,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
58,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
27,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,Mexico,<=50K
63,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
29,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40,India,>50K
44,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
55,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
24,Private,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K
49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K
38,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K
61,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,30,United-States,<=50K
33,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
52,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
28,Private,Some-college,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K
41,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
23,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
