age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
69,Federal-gov,113008,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,81,United-States,>50K
27,Private,261269,Bachelors,13,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,12,0,34,Philippines,>50K
33,Self-emp-not-inc,124306,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,0,49,United-States,<=50K
34,Federal-gov,125980,Masters,9,Divorced,Adm-clerical,Unmarried,White,Female,15058,1873,44,United-States,<=50K
27,Private,84463,12th,8,Never-married,Prof-specialty,Own-child,White,Female,40,0,21,United-States,<=50K
31,Without-pay,166668,Assoc-acdm,13,Separated,Machine-op-inspct,Not-in-family,White,Female,38,0,40,United-States,<=50K
42,Local-gov,173186,Prof-school,11,Separated,Adm-clerical,Unmarried,Black,Female,36,1,40,United-States,<=50K
44,Private,89961,Some-college,10,Married-AF-spouse,Adm-clerical,Wife,White,Female,22,0,40,United-States,<=50K
32,Private,75513,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,40,United-States,<=50K
28,Private,38643,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,18,0,40,United-States,<=50K
59,State-gov,42900,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,19,United-States,<=50K
31,Private,313597,Assoc-acdm,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,35017,11th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,47,0,12,United-States,<=50K
55,Private,105848,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Self-emp-not-inc,118322,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
52,Self-emp-inc,240875,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,10,0,50,China,>50K
20,Private,116312,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,19,0,11,United-States,<=50K
34,Private,57809,HS-grad,9,Divorced,Exec-managerial,Unmarried,Black,Female,18,0,40,United-States,<=50K
56,Self-emp-not-inc,54588,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,20,Ireland,<=50K
47,Private,27609,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,9,United-States,<=50K
43,Private,132414,Assoc-acdm,13,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,625391,5th-6th,3,Divorced,Transport-moving,Not-in-family,White,Male,37,1,40,Mexico,<=50K
61,Federal-gov,178268,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,4,0,50,United-States,>50K
45,Private,78600,Doctorate,10,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,2,40,Ecuador,<=50K
44,Private,237274,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,16,1,49,United-States,>50K
36,Private,133703,Preschool,2,Never-married,Other-service,Own-child,Black,Male,12,1,40,United-States,<=50K
49,Private,90866,HS-grad,14,Married-civ-spouse,Sales,Husband,White,Male,30,0,12,United-States,>50K
39,Federal-gov,324800,Masters,16,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,12,0,40,United-States,<=50K
55,Private,223867,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Local-gov,118269,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
27,Private,170857,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Local-gov,186162,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,1852,40,United-States,<=50K
19,Private,319582,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,12,0,36,United-States,<=50K
43,Federal-gov,181863,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,6,0,56,United-States,<=50K
31,Private,91914,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,176183,Some-college,10,Never-married,Sales,Own-child,Other,Male,6,0,20,Dominican-Republic,<=50K
31,Federal-gov,127973,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
32,Self-emp-not-inc,91708,Doctorate,16,Divorced,Adm-clerical,Not-in-family,White,Female,35,0,60,United-States,<=50K
42,Private,278425,Assoc-acdm,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,18,0,40,United-States,>50K
27,Private,276373,12th,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,2,40,United-States,<=50K
31,Self-emp-not-inc,404238,Assoc-voc,11,Married-civ-spouse,Tech-support,Not-in-family,White,Male,21,0,40,United-States,<=50K
35,Private,276835,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,0,40,United-States,>50K
48,Federal-gov,123719,Assoc-voc,6,Divorced,Adm-clerical,Not-in-family,White,Male,0,1,49,United-States,>50K
42,Local-gov,230637,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,9,0,40,United-States,>50K
49,Private,197501,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,28,0,45,Guatemala,<=50K
25,Private,134249,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,9,2,40,United-States,<=50K
30,Private,34465,10th,4,Never-married,Sales,Own-child,White,Male,0,0,34,Taiwan,<=50K
45,Private,117219,Bachelors,13,Married-civ-spouse,Protective-serv,Not-in-family,Other,Male,0,0,40,United-States,<=50K
21,Private,183114,Some-college,10,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,5,0,11,United-States,<=50K
29,Private,148574,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,0,1,40,United-States,<=50K
53,Self-emp-inc,85259,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,1951,40,United-States,<=50K
22,State-gov,227132,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,1,36,United-States,<=50K
49,Private,110505,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1874,40,United-States,>50K
27,Private,438644,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
54,Self-emp-not-inc,92143,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3472,1,10,United-States,<=50K
28,Private,101103,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,9,Cuba,<=50K
20,Self-emp-not-inc,97140,9th,7,Never-married,Sales,Own-child,White,Female,0,1,36,United-States,<=50K
54,State-gov,307716,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,7919,0,66,United-States,>50K
61,Private,22261,Some-college,10,Widowed,Adm-clerical,Own-child,White,Female,0,0,19,United-States,<=50K
20,Private,155435,Some-college,10,Never-married,Sales,Own-child,White,Male,2,2,20,United-States,>50K
30,Private,115153,10th,7,Never-married,Farming-fishing,Not-in-family,White,Male,2,1,36,United-States,<=50K
60,Private,213028,7th-8th,4,Divorced,Craft-repair,Unmarried,White,Male,24,0,44,United-States,<=50K
36,Private,206180,Doctorate,4,Never-married,Tech-support,Unmarried,White,Female,22,0,40,Guatemala,<=50K
52,Local-gov,287735,Assoc-acdm,13,Never-married,Adm-clerical,Own-child,Black,Female,12,0,40,United-States,<=50K
34,Private,216476,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,12,0,40,United-States,>50K
38,Self-emp-not-inc,26777,HS-grad,9,Divorced,Farming-fishing,Husband,White,Male,42,0,58,United-States,<=50K
34,Local-gov,45496,Some-college,10,Never-married,Other-service,Other-relative,White,Female,14,0,18,Germany,<=50K
34,Private,150782,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,4,1,40,United-States,<=50K
27,Private,86080,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,6,0,36,Iran,<=50K
58,Private,219974,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,>50K
38,Private,79466,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,14618,1,29,United-States,<=50K
47,Self-emp-not-inc,92372,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,1,57,United-States,>50K
24,Private,116581,Bachelors,13,Never-married,Adm-clerical,Own-child,Other,Female,0,1,20,Puerto-Rico,<=50K
76,Self-emp-not-inc,188510,12th,7,Widowed,Priv-house-serv,Own-child,White,Female,26,0,18,United-States,<=50K
67,Self-emp-not-inc,141421,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,30,1,18,United-States,<=50K
43,Private,235466,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,18,0,40,Portugal,<=50K
32,State-gov,99666,HS-grad,9,Separated,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
35,Private,163203,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,1,40,United-States,<=50K
27,Private,25769,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,1,57,United-States,>50K
55,Private,37657,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,16,1,40,United-States,<=50K
33,Local-gov,99533,Prof-school,15,Never-married,Other-service,Unmarried,Black,Female,11,0,40,United-States,<=50K
37,Local-gov,118607,11th,7,Separated,Exec-managerial,Other-relative,Black,Male,10,3,40,England,<=50K
51,Private,102442,Preschool,13,Married-civ-spouse,Other-service,Not-in-family,White,Female,25,0,40,Mexico,<=50K
53,Self-emp-not-inc,22767,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4484,0,37,United-States,<=50K
54,Private,174284,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,1,0,40,United-States,>50K
31,Private,122608,Preschool,2,Never-married,Machine-op-inspct,Other-relative,White,Female,25,0,40,Dominican-Republic,<=50K
60,Private,101060,1st-4th,2,Married-spouse-absent,Other-service,Other-relative,White,Female,13,1,40,Mexico,<=50K
72,Self-emp-inc,94198,Masters,11,Divorced,Exec-managerial,Not-in-family,White,Male,34,0,40,United-States,<=50K
49,Private,314149,Some-college,10,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,1,0,40,United-States,<=50K
43,Self-emp-inc,29840,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K
45,Federal-gov,212873,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,1,0,40,United-States,<=50K
33,Federal-gov,63384,Some-college,10,Divorced,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
23,Private,125131,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1,20,United-States,<=50K
40,Self-emp-not-inc,260122,7th-8th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,80,United-States,<=50K
38,State-gov,93279,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
20,Private,94424,7th-8th,7,Never-married,Other-service,Other-relative,White,Female,40,1,22,United-States,<=50K
74,Self-emp-not-inc,174434,7th-8th,3,Divorced,Farming-fishing,Unmarried,White,Male,4232,1,57,Outlying-US(Guam-USVI-etc),<=50K
26,Private,220918,HS-grad,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,7,1,40,United-States,<=50K
26,Private,182545,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Female,1,0,40,United-States,<=50K
19,Private,183815,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Female,12,0,40,United-States,<=50K
49,Private,210786,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,0,40,United-States,>50K
37,Federal-gov,177455,Masters,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
26,Private,97843,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,<=50K
48,Private,582909,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2,40,Greece,>50K
56,Local-gov,37787,10th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
29,Self-emp-not-inc,201403,HS-grad,7,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,State-gov,35153,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,15,0,40,United-States,<=50K
24,Private,198516,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,23,0,40,United-States,<=50K
31,Private,110525,Bachelors,13,Never-married,Sales,Own-child,White,Female,3,0,20,United-States,<=50K
62,Private,43990,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,12,United-States,>50K
28,Private,225089,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,7,0,40,United-States,>50K
45,Self-emp-inc,135347,Some-college,14,Married-civ-spouse,Transport-moving,Husband,White,Male,3,0,40,United-States,>50K
39,Private,90115,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,25,1,40,United-States,<=50K
52,Private,179338,1st-4th,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,1,40,Trinadad&Tobago,<=50K
61,Private,191050,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,15,1,35,United-States,<=50K
32,Private,151832,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,10,1,36,United-States,<=50K
56,Private,265788,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,11,0,40,United-States,>50K
63,Local-gov,237617,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,31,0,40,United-States,<=50K
36,Local-gov,249491,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
23,Private,377150,9th,6,Never-married,Machine-op-inspct,Own-child,White,Male,1,1,40,United-States,<=50K
38,Private,249375,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,59,United-States,<=50K
30,Private,215109,1st-4th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,37,United-States,<=50K
40,Private,129474,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,20,1889,58,Thailand,>50K
45,Private,102712,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,14212,0,40,United-States,<=50K
54,Private,74426,Doctorate,16,Divorced,Adm-clerical,Unmarried,White,Female,0,0,36,United-States,<=50K
47,Self-emp-inc,136117,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,4,0,40,United-States,>50K
30,Self-emp-not-inc,81276,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,21,Philippines,>50K
32,Private,190686,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,3883,0,40,United-States,<=50K
25,Federal-gov,124929,Bachelors,13,Divorced,Adm-clerical,Own-child,White,Female,0,1,40,United-States,<=50K
33,Local-gov,222202,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,49,United-States,>50K
38,Private,62608,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,United-States,<=50K
21,Private,76006,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
27,Private,128658,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,27,0,40,United-States,>50K
44,Federal-gov,82123,Bachelors,10,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,16,1733,40,United-States,<=50K
44,Self-emp-not-inc,44858,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,3771,0,49,United-States,<=50K
72,Without-pay,180602,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,China,<=50K
45,Private,342541,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,3350,0,21,United-States,<=50K
21,Private,283299,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,61,0,50,United-States,<=50K
18,Private,134069,10th,15,Never-married,Priv-house-serv,Other-relative,Other,Female,15,0,40,United-States,<=50K
41,Private,182691,10th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,13,1,40,United-States,<=50K
25,Private,42070,10th,6,Never-married,Sales,Own-child,White,Female,0,0,21,United-States,<=50K
46,Private,168591,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,1,40,United-States,<=50K
43,Private,137564,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,40,United-States,<=50K
52,State-gov,80502,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
46,Private,214322,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15,0,40,United-States,>50K
31,Self-emp-not-inc,190228,9th,7,Never-married,Craft-repair,Not-in-family,White,Male,20,1,56,United-States,<=50K
34,Private,288857,Bachelors,10,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,6,0,40,United-States,<=50K
37,Without-pay,128782,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,<=50K
62,Private,29378,7th-8th,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,United-States,<=50K
34,Private,113361,Some-college,9,Married-civ-spouse,Farming-fishing,Wife,White,Male,3,0,40,United-States,<=50K
30,Private,103647,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,3,0,57,United-States,<=50K
56,Private,171710,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,10,0,40,United-States,>50K
47,Private,117160,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,15216,0,40,United-States,<=50K
55,Self-emp-inc,48045,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
46,Self-emp-not-inc,65079,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,3,1,43,United-States,<=50K
54,Private,182235,Bachelors,10,Married-civ-spouse,Transport-moving,Husband,White,Male,13,0,18,United-States,<=50K
27,Private,129259,11th,7,Divorced,Transport-moving,Own-child,White,Male,0,0,18,United-States,<=50K
37,Self-emp-not-inc,28346,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,24,1,58,United-States,<=50K
26,Private,335177,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,12,1,40,Nicaragua,<=50K
25,Private,285745,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Other,Male,0,1953,40,United-States,<=50K
29,Private,106874,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,14816,0,50,United-States,<=50K
33,Private,71026,Some-college,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States,<=50K
44,Private,209977,Prof-school,4,Never-married,Adm-clerical,Unmarried,White,Female,0,1,40,United-States,<=50K
50,Private,88319,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,1,40,United-States,<=50K
27,Private,153915,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,31,0,36,Germany,<=50K
26,Private,264364,9th,6,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,4,1,36,Laos,<=50K
54,Self-emp-not-inc,42383,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,1,30,United-States,<=50K
42,Private,78911,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
24,State-gov,179571,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,8,0,40,United-States,<=50K
63,Private,35729,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15183,0,49,United-States,>50K
33,Private,146435,12th,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,155468,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,23,United-States,<=50K
30,Private,43116,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,16,0,21,United-States,<=50K
37,Private,90383,Assoc-acdm,13,Never-married,Exec-managerial,Unmarried,White,Female,35,0,40,United-States,<=50K
35,Private,195329,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,1,40,United-States,<=50K
27,Private,96294,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,13,1,40,United-States,>50K
31,State-gov,69069,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,15,0,40,Puerto-Rico,<=50K
24,Private,38451,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1,40,United-States,<=50K
31,Private,209624,Assoc-acdm,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,53,0,40,United-States,>50K
59,Private,39764,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,7,0,22,United-States,<=50K
37,Self-emp-not-inc,51930,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,56,United-States,<=50K
34,Private,153166,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,1,40,United-States,<=50K
42,State-gov,159188,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,Private,24170,Some-college,10,Never-married,Sales,Own-child,White,Female,15,1,36,United-States,<=50K
47,Private,219317,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Male,16,0,19,United-States,<=50K
40,Private,94586,Bachelors,13,Married-AF-spouse,Other-service,Unmarried,White,Female,31,0,49,United-States,<=50K
34,Private,44814,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,18,0,40,United-States,<=50K
46,Private,209518,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,15,1,40,United-States,<=50K
25,Private,110910,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,15,Philippines,<=50K
41,Private,103153,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,28,1,40,United-States,<=50K
38,Private,97998,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,34,0,40,United-States,>50K
48,Private,113135,Some-college,10,Widowed,Adm-clerical,Wife,Black,Female,5,0,40,United-States,<=50K
33,Private,100228,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,6,0,35,United-States,>50K
68,Local-gov,126262,Doctorate,16,Widowed,Prof-specialty,Not-in-family,White,Female,44,0,40,United-States,<=50K
37,Private,184218,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,1,36,Ireland,<=50K
32,Self-emp-inc,293566,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15742,0,40,United-States,>50K
36,Private,233950,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,34,0,40,United-States,>50K
32,Private,249012,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,27,0,40,United-States,>50K
50,Local-gov,69994,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,15,0,40,United-States,<=50K
43,Self-emp-inc,45592,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,48,0,13,United-States,>50K
36,Private,36789,Prof-school,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,14612,0,40,United-States,>50K
65,State-gov,46983,Assoc-acdm,7,Divorced,Adm-clerical,Unmarried,White,Female,4,1,40,United-States,<=50K
40,Private,75812,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,50,United-States,>50K
44,State-gov,324573,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4311,0,40,United-States,>50K
19,Self-emp-not-inc,23840,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Male,0,1,40,United-States,<=50K
38,Private,42893,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Other,Female,0,1,34,United-States,<=50K
21,Private,26324,Some-college,10,Never-married,Other-service,Own-child,Other,Female,0,0,40,United-States,<=50K
33,Private,96287,Some-college,10,Never-married,Tech-support,Own-child,White,Female,5,0,40,United-States,<=50K
31,Private,112235,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,169058,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,40,United-States,<=50K
33,State-gov,234078,Assoc-voc,13,Divorced,Craft-repair,Husband,White,Female,2,1,40,United-States,<=50K
37,Private,69542,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,16,0,40,Hungary,<=50K
41,Private,23490,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,8,0,58,United-States,>50K
19,Private,252608,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
31,Private,127012,Preschool,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,22,0,40,Vietnam,<=50K
65,Private,137770,HS-grad,9,Divorced,Sales,Unmarried,White,Male,0,1,40,United-States,<=50K
60,Self-emp-not-inc,60605,7th-8th,3,Divorced,Armed-Forces,Not-in-family,White,Female,21,0,17,United-States,<=50K
21,Private,28657,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
57,Private,106036,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
28,State-gov,146247,Bachelors,13,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
32,Local-gov,55306,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White,Female,18,0,40,United-States,<=50K
